Season,Date,LeftTeam,LeftScore,RightScore,RightTeam,Overtime
2004-2005,2004-12-18,San Antonio Spurs,104,85,Golden State Warriors,0OT
2004-2005,2004-12-18,Phoenix Suns,110,96,Washington Wizards,0OT
2004-2005,2004-12-19,New York Knicks,94,93,Utah Jazz,0OT
2004-2005,2004-12-19,Toronto Raptors,110,99,Brooklyn Nets,0OT
2004-2005,2004-12-19,Miami Heat,117,107,Orlando Magic,0OT
2004-2005,2004-12-19,Sacramento Kings,107,71,New Orleans Pelicans,0OT
2004-2005,2004-12-19,Los Angeles Clippers,82,92,Memphis Grizzlies,0OT
2004-2005,2004-12-20,Philadelphia 76ers,101,103,Utah Jazz,0OT
2004-2005,2004-12-20,Chicago Bulls,92,87,Portland Trail Blazers,0OT
2004-2005,2004-12-20,Houston Rockets,114,102,Toronto Raptors,0OT
2004-2005,2004-12-20,Denver Nuggets,105,107,Phoenix Suns,0OT
2004-2005,2004-12-20,Golden State Warriors,101,103,Washington Wizards,0OT
2004-2005,2004-12-20,Los Angeles Lakers,72,82,Memphis Grizzlies,0OT
2004-2005,2004-12-21,Charlotte Hornets,91,94,Brooklyn Nets,0OT
2004-2005,2004-12-21,Cleveland Cavaliers,107,97,Minnesota Timberwolves,0OT
2004-2005,2004-12-21,Miami Heat,108,100,Boston Celtics,0OT
2004-2005,2004-12-21,New York Knicks,94,123,Dallas Mavericks,0OT
2004-2005,2004-12-21,Sacramento Kings,104,93,Washington Wizards,0OT
2004-2005,2004-12-21,Los Angeles Clippers,100,91,New Orleans Pelicans,1OT
2004-2005,2004-12-22,Boston Celtics,114,109,New York Knicks,0OT
2004-2005,2004-12-22,Indiana Pacers,90,102,Philadelphia 76ers,0OT
2004-2005,2004-12-22,Orlando Magic,93,87,San Antonio Spurs,0OT
2004-2005,2004-12-22,Toronto Raptors,98,86,Utah Jazz,0OT
2004-2005,2004-12-22,Atlanta Hawks,113,100,Dallas Mavericks,0OT
2004-2005,2004-12-22,Detroit Pistons,82,89,Chicago Bulls,0OT
2004-2005,2004-12-22,Brooklyn Nets,92,90,Cleveland Cavaliers,0OT
2004-2005,2004-12-22,Milwaukee Bucks,95,104,Portland Trail Blazers,0OT
2004-2005,2004-12-22,Houston Rockets,87,90,Charlotte Hornets,0OT
2004-2005,2004-12-22,Golden State Warriors,109,99,Memphis Grizzlies,0OT
2004-2005,2004-12-22,Oklahoma City Thunder,98,83,Denver Nuggets,0OT
2004-2005,2004-12-22,Los Angeles Lakers,101,89,New Orleans Pelicans,0OT
2004-2005,2004-12-23,San Antonio Spurs,96,82,Minnesota Timberwolves,0OT
2004-2005,2004-12-23,Phoenix Suns,109,102,Memphis Grizzlies,0OT
2004-2005,2004-12-23,Sacramento Kings,107,109,Miami Heat,0OT
2004-2005,2004-12-25,Indiana Pacers,93,98,Detroit Pistons,0OT
2004-2005,2004-12-25,Los Angeles Lakers,102,104,Miami Heat,1OT
2004-2005,2004-12-26,New York Knicks,91,82,Charlotte Hornets,0OT
2004-2005,2004-12-26,Cleveland Cavaliers,100,91,New Orleans Pelicans,0OT
2004-2005,2004-12-26,Milwaukee Bucks,99,92,Chicago Bulls,0OT
2004-2005,2004-12-26,San Antonio Spurs,107,90,Boston Celtics,0OT
2004-2005,2004-12-26,Minnesota Timberwolves,109,74,Washington Wizards,0OT
2004-2005,2004-12-26,Phoenix Suns,106,94,Toronto Raptors,0OT
2004-2005,2004-12-26,Houston Rockets,96,79,Los Angeles Clippers,0OT
2004-2005,2004-12-26,Denver Nuggets,88,102,Dallas Mavericks,0OT
2004-2005,2004-12-26,Sacramento Kings,94,98,Golden State Warriors,0OT
2004-2005,2004-12-27,Indiana Pacers,100,82,New Orleans Pelicans,0OT
2004-2005,2004-12-27,Orlando Magic,111,119,New York Knicks,0OT
2004-2005,2004-12-27,Washington Wizards,106,87,Charlotte Hornets,0OT
2004-2005,2004-12-27,Detroit Pistons,100,90,Brooklyn Nets,1OT
2004-2005,2004-12-27,Miami Heat,116,102,Atlanta Hawks,0OT
2004-2005,2004-12-27,Memphis Grizzlies,96,76,Los Angeles Clippers,0OT
2004-2005,2004-12-27,Utah Jazz,88,98,Oklahoma City Thunder,0OT
2004-2005,2004-12-27,Portland Trail Blazers,104,111,Philadelphia 76ers,0OT
2004-2005,2004-12-27,Golden State Warriors,104,101,Denver Nuggets,0OT
2004-2005,2004-12-28,Atlanta Hawks,102,111,Cleveland Cavaliers,0OT
2004-2005,2004-12-28,Milwaukee Bucks,115,87,Houston Rockets,0OT
2004-2005,2004-12-28,Chicago Bulls,80,84,Brooklyn Nets,0OT
2004-2005,2004-12-28,Dallas Mavericks,113,94,Boston Celtics,0OT
2004-2005,2004-12-28,San Antonio Spurs,115,94,Phoenix Suns,0OT
2004-2005,2004-12-28,Oklahoma City Thunder,107,114,Philadelphia 76ers,0OT
2004-2005,2004-12-28,Los Angeles Lakers,117,99,Toronto Raptors,0OT
2004-2005,2004-12-29,Charlotte Hornets,71,74,Indiana Pacers,0OT
2004-2005,2004-12-29,Cleveland Cavaliers,87,98,Houston Rockets,0OT
2004-2005,2004-12-29,Orlando Magic,105,111,Milwaukee Bucks,0OT
2004-2005,2004-12-29,Washington Wizards,105,107,Detroit Pistons,0OT
2004-2005,2004-12-29,New York Knicks,100,87,Minnesota Timberwolves,0OT
2004-2005,2004-12-29,Memphis Grizzlies,117,109,Boston Celtics,0OT
2004-2005,2004-12-29,New Orleans Pelicans,96,107,Phoenix Suns,0OT
2004-2005,2004-12-29,Golden State Warriors,111,105,Toronto Raptors,0OT
2004-2005,2004-12-29,Los Angeles Clippers,101,90,Utah Jazz,0OT
2004-2005,2004-12-30,Atlanta Hawks,79,94,Oklahoma City Thunder,0OT
2004-2005,2004-12-30,Brooklyn Nets,83,96,Indiana Pacers,0OT
2004-2005,2004-12-30,Detroit Pistons,78,89,Miami Heat,0OT
2004-2005,2004-12-30,Portland Trail Blazers,80,114,San Antonio Spurs,0OT
2004-2005,2004-12-31,Boston Celtics,108,103,Washington Wizards,0OT
2004-2005,2004-12-31,Charlotte Hornets,97,103,Oklahoma City Thunder,0OT
2004-2005,2004-12-31,Denver Nuggets,97,92,Philadelphia 76ers,0OT
2004-2005,2004-12-31,Utah Jazz,102,109,Sacramento Kings,0OT
2004-2005,2004-12-31,Los Angeles Clippers,79,98,San Antonio Spurs,0OT
2004-2005,2004-12-31,Houston Rockets,105,90,Milwaukee Bucks,0OT
2004-2005,2005-01-01,Miami Heat,113,90,Charlotte Hornets,0OT
2004-2005,2005-01-01,New York Knicks,87,93,Brooklyn Nets,0OT
2004-2005,2005-01-01,Minnesota Timberwolves,95,104,Memphis Grizzlies,0OT
2004-2005,2005-01-01,Chicago Bulls,105,90,Orlando Magic,0OT
2004-2005,2005-01-01,Portland Trail Blazers,97,88,Golden State Warriors,0OT
2004-2005,2005-01-02,Washington Wizards,104,101,Atlanta Hawks,0OT
2004-2005,2005-01-02,Los Angeles Clippers,89,83,Philadelphia 76ers,0OT
2004-2005,2005-01-02,Detroit Pistons,100,88,Boston Celtics,0OT
2004-2005,2005-01-02,Phoenix Suns,117,98,Portland Trail Blazers,0OT
2004-2005,2005-01-02,Dallas Mavericks,123,104,Milwaukee Bucks,0OT
2004-2005,2005-01-02,Houston Rockets,99,80,Utah Jazz,0OT
2004-2005,2005-01-02,Sacramento Kings,86,81,San Antonio Spurs,0OT
2004-2005,2005-01-02,Los Angeles Lakers,99,91,Denver Nuggets,0OT
2004-2005,2005-01-03,Boston Celtics,108,90,New Orleans Pelicans,0OT
2004-2005,2005-01-03,Charlotte Hornets,83,94,Cleveland Cavaliers,0OT
2004-2005,2005-01-03,Toronto Raptors,105,94,Orlando Magic,0OT
2004-2005,2005-01-03,Miami Heat,96,98,Oklahoma City Thunder,0OT
2004-2005,2005-01-03,Memphis Grizzlies,92,82,Utah Jazz,0OT
2004-2005,2005-01-03,Chicago Bulls,80,87,Detroit Pistons,0OT
2004-2005,2005-01-03,Denver Nuggets,98,102,Los Angeles Clippers,0OT
2004-2005,2005-01-03,Golden State Warriors,104,112,Philadelphia 76ers,0OT
2004-2005,2005-01-04,Indiana Pacers,116,99,Milwaukee Bucks,0OT
2004-2005,2005-01-04,Washington Wizards,112,88,Brooklyn Nets,0OT
2004-2005,2005-01-04,New York Knicks,98,105,Sacramento Kings,0OT
2004-2005,2005-01-04,Minnesota Timberwolves,115,122,Phoenix Suns,0OT
2004-2005,2005-01-04,San Antonio Spurs,100,83,Los Angeles Lakers,0OT
2004-2005,2005-01-05,Boston Celtics,84,83,Golden State Warriors,0OT
2004-2005,2005-01-05,Charlotte Hornets,102,84,Minnesota Timberwolves,0OT
2004-2005,2005-01-05,Cleveland Cavaliers,101,85,Atlanta Hawks,0OT
2004-2005,2005-01-05,Orlando Magic,105,87,Oklahoma City Thunder,0OT
2004-2005,2005-01-05,Toronto Raptors,96,93,Sacramento Kings,0OT
2004-2005,2005-01-05,Miami Heat,102,94,New York Knicks,0OT
2004-2005,2005-01-05,Milwaukee Bucks,97,74,Brooklyn Nets,0OT
2004-2005,2005-01-05,New Orleans Pelicans,89,95,Chicago Bulls,0OT
2004-2005,2005-01-05,Dallas Mavericks,118,104,Los Angeles Lakers,0OT
2004-2005,2005-01-05,Houston Rockets,98,108,Phoenix Suns,0OT
2004-2005,2005-01-05,Utah Jazz,99,106,Philadelphia 76ers,0OT
2004-2005,2005-01-05,Los Angeles Clippers,102,98,Portland Trail Blazers,0OT
2004-2005,2005-01-06,Washington Wizards,107,96,Oklahoma City Thunder,0OT
2004-2005,2005-01-06,Detroit Pistons,79,101,Memphis Grizzlies,0OT
2004-2005,2005-01-06,San Antonio Spurs,111,98,Indiana Pacers,0OT
2004-2005,2005-01-07,Orlando Magic,111,91,Charlotte Hornets,0OT
2004-2005,2005-01-07,Toronto Raptors,105,107,Milwaukee Bucks,1OT
2004-2005,2005-01-07,Atlanta Hawks,97,100,Sacramento Kings,0OT
2004-2005,2005-01-07,Boston Celtics,104,110,Detroit Pistons,0OT
2004-2005,2005-01-07,Brooklyn Nets,82,72,Golden State Warriors,0OT
2004-2005,2005-01-07,Memphis Grizzlies,84,76,New Orleans Pelicans,0OT
2004-2005,2005-01-07,Minnesota Timberwolves,89,84,Philadelphia 76ers,0OT
2004-2005,2005-01-07,Chicago Bulls,84,78,Utah Jazz,0OT
2004-2005,2005-01-07,Portland Trail Blazers,92,103,Miami Heat,0OT
2004-2005,2005-01-07,Los Angeles Lakers,111,104,Houston Rockets,0OT
2004-2005,2005-01-08,Cleveland Cavaliers,104,79,New York Knicks,0OT
2004-2005,2005-01-08,San Antonio Spurs,99,90,Denver Nuggets,0OT
2004-2005,2005-01-08,Orlando Magic,104,101,Brooklyn Nets,0OT
2004-2005,2005-01-08,Washington Wizards,117,114,Minnesota Timberwolves,0OT
2004-2005,2005-01-08,New Orleans Pelicans,121,117,Sacramento Kings,1OT
2004-2005,2005-01-08,Chicago Bulls,102,91,Boston Celtics,0OT
2004-2005,2005-01-08,Dallas Mavericks,121,101,Indiana Pacers,0OT
2004-2005,2005-01-08,Milwaukee Bucks,89,86,Utah Jazz,0OT
2004-2005,2005-01-08,Los Angeles Clippers,91,108,Phoenix Suns,0OT
2004-2005,2005-01-09,Toronto Raptors,109,87,Golden State Warriors,0OT
2004-2005,2005-01-09,New York Knicks,113,105,Portland Trail Blazers,0OT
2004-2005,2005-01-09,Phoenix Suns,124,89,Indiana Pacers,0OT
2004-2005,2005-01-09,Oklahoma City Thunder,108,98,Miami Heat,0OT
2004-2005,2005-01-09,Denver Nuggets,98,116,Houston Rockets,0OT
2004-2005,2005-01-10,Boston Celtics,119,101,Orlando Magic,0OT
2004-2005,2005-01-10,Philadelphia 76ers,100,109,Portland Trail Blazers,0OT
2004-2005,2005-01-10,Minnesota Timberwolves,96,105,Los Angeles Lakers,0OT
2004-2005,2005-01-10,Chicago Bulls,94,85,Golden State Warriors,0OT
2004-2005,2005-01-10,Utah Jazz,97,96,San Antonio Spurs,0OT
2004-2005,2005-01-11,Cleveland Cavaliers,100,98,Charlotte Hornets,1OT
2004-2005,2005-01-11,Atlanta Hawks,103,80,Milwaukee Bucks,0OT
2004-2005,2005-01-11,Brooklyn Nets,80,89,Detroit Pistons,0OT
2004-2005,2005-01-11,New York Knicks,82,88,New Orleans Pelicans,0OT
2004-2005,2005-01-11,Memphis Grizzlies,85,86,Indiana Pacers,0OT
2004-2005,2005-01-11,Phoenix Suns,122,107,Miami Heat,0OT
2004-2005,2005-01-11,Sacramento Kings,109,100,Denver Nuggets,0OT
2004-2005,2005-01-11,Oklahoma City Thunder,104,99,Los Angeles Clippers,0OT
2004-2005,2005-01-12,Toronto Raptors,104,93,Boston Celtics,0OT
2004-2005,2005-01-12,Washington Wizards,104,100,Portland Trail Blazers,0OT
2004-2005,2005-01-12,Detroit Pistons,90,76,New Orleans Pelicans,0OT
2004-2005,2005-01-12,Minnesota Timberwolves,80,87,Orlando Magic,0OT
2004-2005,2005-01-12,Chicago Bulls,110,78,Philadelphia 76ers,0OT
2004-2005,2005-01-12,San Antonio Spurs,94,79,Milwaukee Bucks,0OT
2004-2005,2005-01-12,Dallas Mavericks,114,124,Houston Rockets,0OT
2004-2005,2005-01-12,Denver Nuggets,95,83,Los Angeles Lakers,0OT
2004-2005,2005-01-12,Utah Jazz,115,108,Phoenix Suns,0OT
2004-2005,2005-01-12,Golden State Warriors,91,98,Miami Heat,0OT
2004-2005,2005-01-12,Los Angeles Clippers,103,92,Oklahoma City Thunder,0OT
2004-2005,2005-01-13,Houston Rockets,94,85,Brooklyn Nets,1OT
2004-2005,2005-01-13,Sacramento Kings,107,93,Utah Jazz,0OT
2004-2005,2005-01-13,Los Angeles Lakers,98,94,Cleveland Cavaliers,0OT
2004-2005,2005-01-14,Charlotte Hornets,89,109,Memphis Grizzlies,0OT
2004-2005,2005-01-14,Indiana Pacers,101,83,Phoenix Suns,0OT
2004-2005,2005-01-14,Philadelphia 76ers,106,96,Toronto Raptors,0OT
2004-2005,2005-01-14,Boston Celtics,106,94,Atlanta Hawks,0OT
2004-2005,2005-01-14,Detroit Pistons,101,94,Orlando Magic,0OT
2004-2005,2005-01-14,New Orleans Pelicans,112,106,Portland Trail Blazers,0OT
2004-2005,2005-01-14,San Antonio Spurs,98,95,Dallas Mavericks,0OT
2004-2005,2005-01-14,Milwaukee Bucks,103,105,Washington Wizards,0OT
2004-2005,2005-01-14,Denver Nuggets,83,93,Minnesota Timberwolves,0OT
2004-2005,2005-01-14,Los Angeles Clippers,114,112,Miami Heat,2OT
2004-2005,2005-01-14,Oklahoma City Thunder,103,84,Golden State Warriors,0OT
2004-2005,2005-01-15,Chicago Bulls,86,84,New York Knicks,0OT
2004-2005,2005-01-15,Atlanta Hawks,103,95,Charlotte Hornets,0OT
2004-2005,2005-01-15,Washington Wizards,108,103,Phoenix Suns,0OT
2004-2005,2005-01-15,Detroit Pistons,99,95,Philadelphia 76ers,0OT
2004-2005,2005-01-15,Indiana Pacers,84,85,Orlando Magic,0OT
2004-2005,2005-01-15,Memphis Grizzlies,101,82,Milwaukee Bucks,0OT
2004-2005,2005-01-15,Minnesota Timberwolves,92,84,Portland Trail Blazers,0OT
2004-2005,2005-01-15,Dallas Mavericks,98,93,Brooklyn Nets,0OT
2004-2005,2005-01-15,Houston Rockets,73,67,San Antonio Spurs,0OT
2004-2005,2005-01-15,Utah Jazz,71,84,Cleveland Cavaliers,0OT
2004-2005,2005-01-15,Sacramento Kings,99,95,Los Angeles Clippers,0OT
2004-2005,2005-01-15,Golden State Warriors,102,104,Los Angeles Lakers,0OT
2004-2005,2005-01-16,Toronto Raptors,102,99,New Orleans Pelicans,0OT
2004-2005,2005-01-16,Oklahoma City Thunder,105,97,Cleveland Cavaliers,0OT
2004-2005,2005-01-17,Charlotte Hornets,92,99,Milwaukee Bucks,0OT
2004-2005,2005-01-17,New York Knicks,86,88,Chicago Bulls,0OT
2004-2005,2005-01-17,Atlanta Hawks,84,85,Brooklyn Nets,0OT
2004-2005,2005-01-17,Philadelphia 76ers,95,91,New Orleans Pelicans,0OT
2004-2005,2005-01-17,Detroit Pistons,94,80,Phoenix Suns,0OT
2004-2005,2005-01-17,Los Angeles Clippers,83,89,Sacramento Kings,0OT
2004-2005,2005-01-17,San Antonio Spurs,101,73,Washington Wizards,0OT
2004-2005,2005-01-17,Minnesota Timberwolves,91,100,Toronto Raptors,0OT
2004-2005,2005-01-17,Memphis Grizzlies,99,80,Houston Rockets,0OT
2004-2005,2005-01-17,Golden State Warriors,107,97,Denver Nuggets,0OT
2004-2005,2005-01-17,Los Angeles Lakers,94,102,Utah Jazz,0OT
2004-2005,2005-01-18,Orlando Magic,103,101,Detroit Pistons,0OT
2004-2005,2005-01-18,Dallas Mavericks,137,120,Washington Wizards,0OT
2004-2005,2005-01-18,Houston Rockets,74,87,Indiana Pacers,0OT
2004-2005,2005-01-18,Sacramento Kings,113,107,Portland Trail Blazers,1OT
2004-2005,2005-01-18,Oklahoma City Thunder,110,116,Denver Nuggets,1OT
2004-2005,2005-01-19,Boston Celtics,92,83,Chicago Bulls,0OT
2004-2005,2005-01-19,Charlotte Hornets,105,107,Philadelphia 76ers,0OT
2004-2005,2005-01-19,Toronto Raptors,98,81,New York Knicks,0OT
2004-2005,2005-01-19,Miami Heat,111,92,Atlanta Hawks,0OT
2004-2005,2005-01-19,Brooklyn Nets,96,90,Milwaukee Bucks,0OT
2004-2005,2005-01-19,New Orleans Pelicans,90,87,Indiana Pacers,0OT
2004-2005,2005-01-19,San Antonio Spurs,80,79,Los Angeles Clippers,0OT
2004-2005,2005-01-19,Phoenix Suns,79,88,Memphis Grizzlies,0OT
2004-2005,2005-01-19,Portland Trail Blazers,101,107,Cleveland Cavaliers,0OT
2004-2005,2005-01-19,Los Angeles Lakers,93,90,Minnesota Timberwolves,0OT
2004-2005,2005-01-20,Orlando Magic,99,108,Houston Rockets,0OT
2004-2005,2005-01-20,Dallas Mavericks,99,77,Los Angeles Clippers,0OT
2004-2005,2005-01-20,Sacramento Kings,123,96,Cleveland Cavaliers,0OT
2004-2005,2005-01-21,Charlotte Hornets,99,105,Dallas Mavericks,0OT
2004-2005,2005-01-21,Washington Wizards,118,109,Toronto Raptors,0OT
2004-2005,2005-01-21,Brooklyn Nets,104,98,Boston Celtics,0OT
2004-2005,2005-01-21,New York Knicks,91,92,Houston Rockets,0OT
2004-2005,2005-01-21,Miami Heat,100,106,Indiana Pacers,1OT
2004-2005,2005-01-21,Chicago Bulls,95,85,Atlanta Hawks,0OT
2004-2005,2005-01-21,Milwaukee Bucks,89,86,Detroit Pistons,0OT
2004-2005,2005-01-21,Denver Nuggets,92,82,Memphis Grizzlies,0OT
2004-2005,2005-01-21,Los Angeles Lakers,105,101,Golden State Warriors,0OT
2004-2005,2005-01-21,Phoenix Suns,123,128,San Antonio Spurs,1OT
2004-2005,2005-01-21,Oklahoma City Thunder,107,112,Minnesota Timberwolves,0OT
2004-2005,2005-01-22,Atlanta Hawks,100,96,Boston Celtics,0OT
2004-2005,2005-01-22,Orlando Magic,115,111,Philadelphia 76ers,0OT
2004-2005,2005-01-22,Detroit Pistons,89,100,Chicago Bulls,0OT
2004-2005,2005-01-22,Indiana Pacers,93,95,Washington Wizards,0OT
2004-2005,2005-01-22,New Orleans Pelicans,88,85,Los Angeles Clippers,0OT
2004-2005,2005-01-22,Utah Jazz,94,110,Memphis Grizzlies,0OT
2004-2005,2005-01-22,Portland Trail Blazers,83,92,Minnesota Timberwolves,0OT
2004-2005,2005-01-22,Golden State Warriors,87,105,Cleveland Cavaliers,0OT
2004-2005,2005-01-23,Dallas Mavericks,95,93,Denver Nuggets,0OT
2004-2005,2005-01-23,Toronto Raptors,103,92,Charlotte Hornets,0OT
2004-2005,2005-01-23,New York Knicks,96,101,Milwaukee Bucks,0OT
2004-2005,2005-01-23,Miami Heat,97,68,New Orleans Pelicans,0OT
2004-2005,2005-01-23,Phoenix Suns,113,105,Brooklyn Nets,0OT
2004-2005,2005-01-23,Sacramento Kings,73,103,San Antonio Spurs,0OT
2004-2005,2005-01-23,Oklahoma City Thunder,122,105,Utah Jazz,0OT
2004-2005,2005-01-24,Cleveland Cavaliers,97,106,Washington Wizards,0OT
2004-2005,2005-01-24,Philadelphia 76ers,106,98,Miami Heat,0OT
2004-2005,2005-01-24,Atlanta Hawks,82,107,Chicago Bulls,0OT
2004-2005,2005-01-24,Minnesota Timberwolves,86,83,Detroit Pistons,0OT
2004-2005,2005-01-24,Houston Rockets,89,78,Orlando Magic,0OT
2004-2005,2005-01-24,Portland Trail Blazers,107,99,San Antonio Spurs,0OT
2004-2005,2005-01-24,Los Angeles Clippers,97,87,Dallas Mavericks,0OT
2004-2005,2005-01-25,Charlotte Hornets,92,97,Boston Celtics,0OT
2004-2005,2005-01-25,New York Knicks,118,133,Phoenix Suns,0OT
2004-2005,2005-01-25,Memphis Grizzlies,95,83,Orlando Magic,0OT
2004-2005,2005-01-25,Chicago Bulls,111,107,Denver Nuggets,0OT
2004-2005,2005-01-25,Sacramento Kings,113,93,Brooklyn Nets,0OT
2004-2005,2005-01-25,Los Angeles Lakers,93,104,Oklahoma City Thunder,0OT
2004-2005,2005-01-26,Boston Celtics,100,86,Indiana Pacers,0OT
2004-2005,2005-01-26,Cleveland Cavaliers,114,111,Memphis Grizzlies,0OT
2004-2005,2005-01-26,Toronto Raptors,96,111,Miami Heat,0OT
2004-2005,2005-01-26,Washington Wizards,117,107,Philadelphia 76ers,0OT
2004-2005,2005-01-26,Detroit Pistons,87,70,Denver Nuggets,0OT
2004-2005,2005-01-26,Milwaukee Bucks,115,121,Phoenix Suns,0OT
2004-2005,2005-01-26,Minnesota Timberwolves,104,87,Atlanta Hawks,0OT
2004-2005,2005-01-26,New Orleans Pelicans,77,82,Houston Rockets,0OT
2004-2005,2005-01-26,Utah Jazz,109,100,Oklahoma City Thunder,0OT
2004-2005,2005-01-26,Portland Trail Blazers,88,95,Dallas Mavericks,0OT
2004-2005,2005-01-26,Golden State Warriors,99,113,Brooklyn Nets,0OT
2004-2005,2005-01-26,Los Angeles Clippers,105,89,Los Angeles Lakers,0OT
2004-2005,2005-01-27,Indiana Pacers,76,88,Detroit Pistons,0OT
2004-2005,2005-01-27,Chicago Bulls,101,93,Charlotte Hornets,0OT
2004-2005,2005-01-27,San Antonio Spurs,90,80,Sacramento Kings,0OT
2004-2005,2005-01-28,Charlotte Hornets,101,94,Toronto Raptors,0OT
2004-2005,2005-01-28,New York Knicks,99,96,Cleveland Cavaliers,0OT
2004-2005,2005-01-28,Orlando Magic,108,101,Washington Wizards,0OT
2004-2005,2005-01-28,Atlanta Hawks,96,106,Miami Heat,0OT
2004-2005,2005-01-28,Boston Celtics,119,128,Phoenix Suns,0OT
2004-2005,2005-01-28,Minnesota Timberwolves,93,91,Utah Jazz,0OT
2004-2005,2005-01-28,New Orleans Pelicans,99,95,Philadelphia 76ers,1OT
2004-2005,2005-01-28,Milwaukee Bucks,100,106,Denver Nuggets,0OT
2004-2005,2005-01-28,Houston Rockets,111,117,Sacramento Kings,1OT
2004-2005,2005-01-28,Portland Trail Blazers,90,86,Los Angeles Clippers,0OT
2004-2005,2005-01-28,Golden State Warriors,85,88,Oklahoma City Thunder,0OT
2004-2005,2005-01-28,Los Angeles Lakers,103,109,Brooklyn Nets,0OT
2004-2005,2005-01-29,Washington Wizards,97,103,Orlando Magic,0OT
2004-2005,2005-01-29,Detroit Pistons,91,61,New York Knicks,0OT
2004-2005,2005-01-29,Indiana Pacers,88,95,Denver Nuggets,0OT
2004-2005,2005-01-29,Memphis Grizzlies,84,83,Atlanta Hawks,0OT
2004-2005,2005-01-29,Chicago Bulls,97,101,Boston Celtics,0OT
2004-2005,2005-01-29,Dallas Mavericks,89,93,Philadelphia 76ers,0OT
2004-2005,2005-01-29,San Antonio Spurs,93,83,New Orleans Pelicans,0OT
2004-2005,2005-01-29,Utah Jazz,82,99,Brooklyn Nets,0OT
2004-2005,2005-01-29,Los Angeles Clippers,96,85,Golden State Warriors,0OT
2004-2005,2005-01-30,Miami Heat,104,95,Houston Rockets,0OT
2004-2005,2005-01-30,Minnesota Timberwolves,84,94,Sacramento Kings,0OT
2004-2005,2005-01-30,Toronto Raptors,105,123,Phoenix Suns,0OT
2004-2005,2005-01-30,Cleveland Cavaliers,104,87,Milwaukee Bucks,0OT
2004-2005,2005-01-30,Los Angeles Lakers,101,90,Charlotte Hornets,0OT
2004-2005,2005-01-31,Boston Celtics,94,97,Houston Rockets,0OT
2004-2005,2005-01-31,Philadelphia 76ers,89,88,Indiana Pacers,0OT
2004-2005,2005-01-31,Atlanta Hawks,80,79,Orlando Magic,0OT
2004-2005,2005-01-31,New Orleans Pelicans,91,98,Memphis Grizzlies,0OT
2004-2005,2005-01-31,Oklahoma City Thunder,84,103,San Antonio Spurs,0OT
2004-2005,2005-01-31,Los Angeles Clippers,96,89,New York Knicks,0OT
2004-2005,2005-02-01,Orlando Magic,105,102,Cleveland Cavaliers,0OT
2004-2005,2005-02-01,Washington Wizards,96,105,Detroit Pistons,0OT
2004-2005,2005-02-01,Brooklyn Nets,107,97,Chicago Bulls,0OT
2004-2005,2005-02-01,Memphis Grizzlies,108,97,Phoenix Suns,0OT
2004-2005,2005-02-01,Milwaukee Bucks,91,86,Minnesota Timberwolves,0OT
2004-2005,2005-02-01,Dallas Mavericks,109,104,Miami Heat,0OT
2004-2005,2005-02-01,Denver Nuggets,96,76,New York Knicks,0OT
2004-2005,2005-02-01,Utah Jazz,105,109,Charlotte Hornets,0OT
2004-2005,2005-02-01,Sacramento Kings,101,106,Oklahoma City Thunder,0OT
2004-2005,2005-02-01,Los Angeles Lakers,92,79,Portland Trail Blazers,0OT
2004-2005,2005-02-02,Boston Celtics,110,89,Brooklyn Nets,0OT
2004-2005,2005-02-02,Indiana Pacers,97,98,Toronto Raptors,0OT
2004-2005,2005-02-02,Philadelphia 76ers,95,118,Houston Rockets,0OT
2004-2005,2005-02-02,Detroit Pistons,99,84,Atlanta Hawks,0OT
2004-2005,2005-02-02,Minnesota Timberwolves,79,108,Phoenix Suns,0OT
2004-2005,2005-02-02,New Orleans Pelicans,82,90,Dallas Mavericks,0OT
2004-2005,2005-02-02,Portland Trail Blazers,97,94,Denver Nuggets,0OT
2004-2005,2005-02-02,Golden State Warriors,107,111,Sacramento Kings,1OT
2004-2005,2005-02-03,Memphis Grizzlies,103,106,Los Angeles Clippers,0OT
2004-2005,2005-02-03,Miami Heat,100,88,Cleveland Cavaliers,0OT
2004-2005,2005-02-03,Los Angeles Lakers,91,103,San Antonio Spurs,0OT
2004-2005,2005-02-04,Indiana Pacers,95,94,Dallas Mavericks,0OT
2004-2005,2005-02-04,Philadelphia 76ers,103,85,Atlanta Hawks,0OT
2004-2005,2005-02-04,Toronto Raptors,103,100,Washington Wizards,0OT
2004-2005,2005-02-04,Boston Celtics,112,100,Orlando Magic,0OT
