Season,Date,LeftTeam,LeftScore,RightScore,RightTeam,home_win_percentage,away_win_percentage
2006-2007,2006-11-11,Cleveland Cavaliers,94,93,Boston Celtics,0.6,0.2
2006-2007,2006-11-11,Minnesota Timberwolves,98,109,Orlando Magic,0.4,0.5
2006-2007,2006-11-11,San Antonio Spurs,100,92,New York Knicks,0.8,0.3333333333333333
2006-2007,2006-11-11,Chicago Bulls,89,80,Indiana Pacers,0.4,0.6666666666666666
2006-2007,2006-11-11,Milwaukee Bucks,111,113,Utah Jazz,0.3333333333333333,0.8333333333333334
2006-2007,2006-11-11,Phoenix Suns,96,87,Memphis Grizzlies,0.16666666666666666,0.25
2006-2007,2006-11-11,Golden State Warriors,111,79,Detroit Pistons,0.5,0.5
2006-2007,2006-11-12,Los Angeles Clippers,92,76,New Orleans Pelicans,0.8,0.6666666666666666
2006-2007,2006-11-12,Charlotte Hornets,101,108,Denver Nuggets,0.2,0.25
2006-2007,2006-11-12,Washington Wizards,93,105,Brooklyn Nets,0.6,0.5
2006-2007,2006-11-12,Miami Heat,72,94,Houston Rockets,0.6,0.6666666666666666
2006-2007,2006-11-12,Portland Trail Blazers,96,103,Dallas Mavericks,0.6666666666666666,0.2
2006-2007,2006-11-12,Sacramento Kings,107,92,Toronto Raptors,0.6,0.4
2006-2007,2006-11-12,Los Angeles Lakers,91,81,Memphis Grizzlies,0.5714285714285714,0.2
2006-2007,2006-11-13,Boston Celtics,89,92,Orlando Magic,0.16666666666666666,0.5714285714285714
2006-2007,2006-11-13,Brooklyn Nets,113,119,Oklahoma City Thunder,0.6,0.42857142857142855
2006-2007,2006-11-13,New York Knicks,96,102,Cleveland Cavaliers,0.2857142857142857,0.6666666666666666
2006-2007,2006-11-14,Atlanta Hawks,101,103,Milwaukee Bucks,0.6666666666666666,0.2857142857142857
2006-2007,2006-11-14,Miami Heat,105,112,Denver Nuggets,0.5,0.4
2006-2007,2006-11-14,Minnesota Timberwolves,101,89,Portland Trail Blazers,0.3333333333333333,0.5714285714285714
2006-2007,2006-11-14,New Orleans Pelicans,94,85,Charlotte Hornets,0.5714285714285714,0.16666666666666666
2006-2007,2006-11-14,Dallas Mavericks,111,99,Chicago Bulls,0.3333333333333333,0.5
2006-2007,2006-11-14,Houston Rockets,84,92,San Antonio Spurs,0.7142857142857143,0.8333333333333334
2006-2007,2006-11-14,Utah Jazz,112,90,Los Angeles Clippers,0.8571428571428571,0.8333333333333334
2006-2007,2006-11-14,Golden State Warriors,110,99,Toronto Raptors,0.5714285714285714,0.3333333333333333
2006-2007,2006-11-15,Cleveland Cavaliers,100,87,Portland Trail Blazers,0.7142857142857143,0.5
2006-2007,2006-11-15,Orlando Magic,108,99,Denver Nuggets,0.625,0.5
2006-2007,2006-11-15,Boston Celtics,114,88,Indiana Pacers,0.14285714285714285,0.5714285714285714
2006-2007,2006-11-15,Detroit Pistons,99,100,New Orleans Pelicans,0.42857142857142855,0.625
2006-2007,2006-11-15,Brooklyn Nets,100,87,Milwaukee Bucks,0.5,0.375
2006-2007,2006-11-15,New York Knicks,102,82,Washington Wizards,0.25,0.5
2006-2007,2006-11-15,San Antonio Spurs,92,95,Charlotte Hornets,0.8571428571428571,0.14285714285714285
2006-2007,2006-11-15,Sacramento Kings,115,111,Memphis Grizzlies,0.6666666666666666,0.16666666666666666
2006-2007,2006-11-15,Oklahoma City Thunder,90,96,Philadelphia 76ers,0.5,0.5
2006-2007,2006-11-16,Houston Rockets,101,100,Chicago Bulls,0.625,0.42857142857142855
2006-2007,2006-11-16,Golden State Warriors,117,105,Sacramento Kings,0.625,0.7142857142857143
2006-2007,2006-11-17,Indiana Pacers,91,100,Brooklyn Nets,0.5,0.5714285714285714
2006-2007,2006-11-17,Boston Celtics,118,90,Portland Trail Blazers,0.25,0.4444444444444444
2006-2007,2006-11-17,Cleveland Cavaliers,92,76,Minnesota Timberwolves,0.75,0.42857142857142855
2006-2007,2006-11-17,Miami Heat,76,100,New York Knicks,0.42857142857142855,0.3333333333333333
2006-2007,2006-11-17,Detroit Pistons,100,91,Washington Wizards,0.375,0.42857142857142855
2006-2007,2006-11-17,Memphis Grizzlies,103,115,Dallas Mavericks,0.14285714285714285,0.42857142857142855
2006-2007,2006-11-17,San Antonio Spurs,100,83,Chicago Bulls,0.75,0.375
2006-2007,2006-11-17,Los Angeles Lakers,107,100,Toronto Raptors,0.625,0.2857142857142857
2006-2007,2006-11-17,Phoenix Suns,106,94,Philadelphia 76ers,0.2857142857142857,0.5714285714285714
2006-2007,2006-11-17,Oklahoma City Thunder,109,118,Utah Jazz,0.4444444444444444,0.875
2006-2007,2006-11-18,Atlanta Hawks,88,93,Miami Heat,0.5714285714285714,0.375
2006-2007,2006-11-18,Orlando Magic,97,83,Charlotte Hornets,0.6666666666666666,0.25
2006-2007,2006-11-18,Washington Wizards,111,99,Cleveland Cavaliers,0.375,0.7777777777777778
2006-2007,2006-11-18,Detroit Pistons,104,92,Houston Rockets,0.4444444444444444,0.6666666666666666
2006-2007,2006-11-18,Brooklyn Nets,68,86,Portland Trail Blazers,0.625,0.4
2006-2007,2006-11-18,New York Knicks,118,122,Boston Celtics,0.4,0.3333333333333333
2006-2007,2006-11-18,Minnesota Timberwolves,96,99,New Orleans Pelicans,0.375,0.6666666666666666
2006-2007,2006-11-18,Dallas Mavericks,89,84,Memphis Grizzlies,0.5,0.125
2006-2007,2006-11-18,Milwaukee Bucks,100,102,Indiana Pacers,0.3333333333333333,0.4444444444444444
2006-2007,2006-11-18,Denver Nuggets,117,109,Toronto Raptors,0.42857142857142855,0.25
2006-2007,2006-11-18,Utah Jazz,120,117,Phoenix Suns,0.8888888888888888,0.375
2006-2007,2006-11-18,Golden State Warriors,107,95,Oklahoma City Thunder,0.6666666666666666,0.4
2006-2007,2006-11-18,Los Angeles Clippers,103,97,Philadelphia 76ers,0.7142857142857143,0.5
2006-2007,2006-11-19,Los Angeles Lakers,82,72,Chicago Bulls,0.6666666666666666,0.3333333333333333
2006-2007,2006-11-19,Sacramento Kings,99,108,San Antonio Spurs,0.625,0.7777777777777778
2006-2007,2006-11-20,Charlotte Hornets,85,93,Dallas Mavericks,0.2222222222222222,0.5555555555555556
2006-2007,2006-11-20,New York Knicks,90,97,Houston Rockets,0.36363636363636365,0.6
2006-2007,2006-11-20,Memphis Grizzlies,95,86,Orlando Magic,0.1111111111111111,0.7
2006-2007,2006-11-20,Utah Jazz,101,96,Toronto Raptors,0.9,0.2222222222222222
2006-2007,2006-11-20,Portland Trail Blazers,98,107,San Antonio Spurs,0.45454545454545453,0.8
2006-2007,2006-11-20,Oklahoma City Thunder,99,87,Brooklyn Nets,0.36363636363636365,0.5555555555555556
2006-2007,2006-11-20,Golden State Warriors,110,113,Phoenix Suns,0.7,0.3333333333333333
2006-2007,2006-11-21,Cleveland Cavaliers,97,94,Memphis Grizzlies,0.7,0.2
2006-2007,2006-11-21,Indiana Pacers,93,88,Milwaukee Bucks,0.5,0.3
2006-2007,2006-11-21,Philadelphia 76ers,87,97,Detroit Pistons,0.4444444444444444,0.5
2006-2007,2006-11-21,New Orleans Pelicans,101,86,Miami Heat,0.7,0.4444444444444444
2006-2007,2006-11-21,Dallas Mavericks,107,80,Washington Wizards,0.6,0.4444444444444444
2006-2007,2006-11-21,Denver Nuggets,113,109,Chicago Bulls,0.5,0.3
2006-2007,2006-11-21,Los Angeles Lakers,105,101,Los Angeles Clippers,0.7,0.75
2006-2007,2006-11-22,Charlotte Hornets,92,83,Boston Celtics,0.2,0.4
2006-2007,2006-11-22,Orlando Magic,96,91,Indiana Pacers,0.6363636363636364,0.5454545454545454
2006-2007,2006-11-22,Toronto Raptors,95,87,Cleveland Cavaliers,0.2,0.7272727272727273
2006-2007,2006-11-22,Detroit Pistons,103,98,Atlanta Hawks,0.5454545454545454,0.5
2006-2007,2006-11-22,San Antonio Spurs,106,86,Miami Heat,0.8181818181818182,0.4
2006-2007,2006-11-22,Milwaukee Bucks,98,94,Philadelphia 76ers,0.2727272727272727,0.4
2006-2007,2006-11-22,Minnesota Timberwolves,107,89,New York Knicks,0.3333333333333333,0.3333333333333333
2006-2007,2006-11-22,Houston Rockets,86,82,Washington Wizards,0.6363636363636364,0.4
2006-2007,2006-11-22,Phoenix Suns,92,83,New Orleans Pelicans,0.4,0.7272727272727273
2006-2007,2006-11-22,Portland Trail Blazers,100,97,Brooklyn Nets,0.4166666666666667,0.5
2006-2007,2006-11-22,Sacramento Kings,101,110,Utah Jazz,0.5555555555555556,0.9090909090909091
2006-2007,2006-11-22,Golden State Warriors,112,115,Denver Nuggets,0.6363636363636364,0.5555555555555556
2006-2007,2006-11-22,Los Angeles Clippers,85,95,Oklahoma City Thunder,0.6666666666666666,0.4166666666666667
2006-2007,2006-11-24,Atlanta Hawks,97,93,Toronto Raptors,0.4444444444444444,0.2727272727272727
2006-2007,2006-11-24,Boston Celtics,77,101,New York Knicks,0.36363636363636365,0.3076923076923077
2006-2007,2006-11-24,Miami Heat,104,107,Orlando Magic,0.36363636363636365,0.6666666666666666
2006-2007,2006-11-24,Philadelphia 76ers,123,108,Chicago Bulls,0.36363636363636365,0.2727272727272727
2006-2007,2006-11-24,Detroit Pistons,104,95,Charlotte Hornets,0.5833333333333334,0.2727272727272727
2006-2007,2006-11-24,Indiana Pacers,97,87,Cleveland Cavaliers,0.5,0.6666666666666666
2006-2007,2006-11-24,Memphis Grizzlies,95,80,Washington Wizards,0.18181818181818182,0.36363636363636365
2006-2007,2006-11-24,New Orleans Pelicans,79,86,Minnesota Timberwolves,0.6666666666666666,0.4
2006-2007,2006-11-24,San Antonio Spurs,92,95,Dallas Mavericks,0.8333333333333334,0.6363636363636364
2006-2007,2006-11-24,Denver Nuggets,140,129,Golden State Warriors,0.6,0.5833333333333334
2006-2007,2006-11-24,Utah Jazz,114,108,Los Angeles Lakers,0.9166666666666666,0.7272727272727273
2006-2007,2006-11-24,Phoenix Suns,99,93,Brooklyn Nets,0.45454545454545453,0.45454545454545453
2006-2007,2006-11-24,Oklahoma City Thunder,100,109,Sacramento Kings,0.46153846153846156,0.5
2006-2007,2006-11-25,Charlotte Hornets,93,102,Miami Heat,0.25,0.3333333333333333
2006-2007,2006-11-25,Orlando Magic,98,79,Atlanta Hawks,0.6923076923076923,0.5
2006-2007,2006-11-25,Washington Wizards,111,115,Detroit Pistons,0.3333333333333333,0.6153846153846154
2006-2007,2006-11-25,Cleveland Cavaliers,108,95,Philadelphia 76ers,0.6153846153846154,0.4166666666666667
2006-2007,2006-11-25,New York Knicks,95,106,Chicago Bulls,0.35714285714285715,0.25
2006-2007,2006-11-25,Minnesota Timberwolves,104,96,Los Angeles Clippers,0.45454545454545453,0.6
2006-2007,2006-11-25,Dallas Mavericks,85,73,New Orleans Pelicans,0.6666666666666666,0.6153846153846154
2006-2007,2006-11-25,Houston Rockets,85,76,Memphis Grizzlies,0.6666666666666666,0.25
2006-2007,2006-11-25,Milwaukee Bucks,98,111,Boston Celtics,0.3333333333333333,0.3333333333333333
2006-2007,2006-11-25,Sacramento Kings,105,85,Portland Trail Blazers,0.5454545454545454,0.46153846153846156
2006-2007,2006-11-25,Golden State Warriors,91,78,Utah Jazz,0.5384615384615384,0.9230769230769231
2006-2007,2006-11-26,Toronto Raptors,92,83,Indiana Pacers,0.25,0.5384615384615384
2006-2007,2006-11-26,Denver Nuggets,103,88,Los Angeles Clippers,0.6363636363636364,0.5454545454545454
2006-2007,2006-11-26,Portland Trail Blazers,101,119,Phoenix Suns,0.42857142857142855,0.5
2006-2007,2006-11-26,Oklahoma City Thunder,78,98,San Antonio Spurs,0.42857142857142855,0.7692307692307693
2006-2007,2006-11-26,Los Angeles Lakers,99,93,Brooklyn Nets,0.6666666666666666,0.4166666666666667
2006-2007,2006-11-27,Miami Heat,103,91,Philadelphia 76ers,0.38461538461538464,0.38461538461538464
2006-2007,2006-11-27,Dallas Mavericks,93,87,Minnesota Timberwolves,0.6923076923076923,0.5
2006-2007,2006-11-27,Utah Jazz,75,88,Orlando Magic,0.8571428571428571,0.7142857142857143
2006-2007,2006-11-27,Golden State Warriors,111,102,San Antonio Spurs,0.5714285714285714,0.7857142857142857
2006-2007,2006-11-28,Washington Wizards,96,95,Atlanta Hawks,0.3076923076923077,0.45454545454545453
2006-2007,2006-11-28,Brooklyn Nets,92,96,Charlotte Hornets,0.38461538461538464,0.23076923076923078
2006-2007,2006-11-28,New Orleans Pelicans,77,94,Toronto Raptors,0.5714285714285714,0.3076923076923077
2006-2007,2006-11-28,Chicago Bulls,102,85,New York Knicks,0.3076923076923077,0.3333333333333333
2006-2007,2006-11-28,Houston Rockets,82,75,Minnesota Timberwolves,0.6923076923076923,0.46153846153846156
2006-2007,2006-11-28,Denver Nuggets,96,108,Memphis Grizzlies,0.6666666666666666,0.23076923076923078
2006-2007,2006-11-28,Portland Trail Blazers,97,105,Indiana Pacers,0.4,0.5
2006-2007,2006-11-28,Sacramento Kings,93,80,Los Angeles Clippers,0.5833333333333334,0.5
2006-2007,2006-11-28,Los Angeles Lakers,105,109,Milwaukee Bucks,0.6923076923076923,0.3076923076923077
2006-2007,2006-11-29,Atlanta Hawks,99,90,Charlotte Hornets,0.4166666666666667,0.2857142857142857
2006-2007,2006-11-29,Cleveland Cavaliers,98,101,New York Knicks,0.6428571428571429,0.3125
2006-2007,2006-11-29,Boston Celtics,103,106,Brooklyn Nets,0.38461538461538464,0.35714285714285715
2006-2007,2006-11-29,Dallas Mavericks,117,98,Toronto Raptors,0.7142857142857143,0.35714285714285715
2006-2007,2006-11-29,Phoenix Suns,102,91,Houston Rockets,0.5384615384615384,0.7142857142857143
2006-2007,2006-11-29,Utah Jazz,83,75,San Antonio Spurs,0.8,0.7333333333333333
2006-2007,2006-11-29,Oklahoma City Thunder,84,94,Orlando Magic,0.4,0.7333333333333333
2006-2007,2006-11-29,Golden State Warriors,106,108,Indiana Pacers,0.6,0.5333333333333333
2006-2007,2006-11-29,Los Angeles Clippers,105,90,Memphis Grizzlies,0.46153846153846156,0.2857142857142857
2006-2007,2006-11-30,Miami Heat,85,87,Detroit Pistons,0.42857142857142855,0.6428571428571429
2006-2007,2006-11-30,Los Angeles Lakers,132,102,Utah Jazz,0.6428571428571429,0.8125
2006-2007,2006-12-01,Toronto Raptors,106,102,Boston Celtics,0.3333333333333333,0.35714285714285715
2006-2007,2006-12-01,Washington Wizards,121,109,Charlotte Hornets,0.35714285714285715,0.26666666666666666
2006-2007,2006-12-01,Atlanta Hawks,95,106,Cleveland Cavaliers,0.46153846153846156,0.6
2006-2007,2006-12-01,Detroit Pistons,108,100,New York Knicks,0.6666666666666666,0.35294117647058826
2006-2007,2006-12-01,Minnesota Timberwolves,92,106,Denver Nuggets,0.42857142857142855,0.6153846153846154
2006-2007,2006-12-01,New Orleans Pelicans,108,111,Chicago Bulls,0.5333333333333333,0.35714285714285715
2006-2007,2006-12-01,Dallas Mavericks,109,90,Sacramento Kings,0.7333333333333333,0.6153846153846154
2006-2007,2006-12-01,Phoenix Suns,122,116,Milwaukee Bucks,0.5714285714285714,0.35714285714285715
2006-2007,2006-12-01,Portland Trail Blazers,89,91,Orlando Magic,0.375,0.75
2006-2007,2006-12-01,Oklahoma City Thunder,105,103,Indiana Pacers,0.375,0.5625
2006-2007,2006-12-02,Brooklyn Nets,112,107,Philadelphia 76ers,0.4,0.35714285714285715
2006-2007,2006-12-02,Memphis Grizzlies,97,98,Miami Heat,0.26666666666666666,0.4
2006-2007,2006-12-02,New York Knicks,100,103,Toronto Raptors,0.3333333333333333,0.375
2006-2007,2006-12-02,San Antonio Spurs,100,98,Sacramento Kings,0.6875,0.5714285714285714
2006-2007,2006-12-02,Chicago Bulls,112,94,Washington Wizards,0.4,0.4
2006-2007,2006-12-02,Houston Rockets,81,63,Cleveland Cavaliers,0.6666666666666666,0.625
2006-2007,2006-12-02,Denver Nuggets,121,101,Indiana Pacers,0.6428571428571429,0.5294117647058824
2006-2007,2006-12-02,Utah Jazz,109,107,Oklahoma City Thunder,0.7647058823529411,0.4117647058823529
2006-2007,2006-12-02,Golden State Warriors,110,115,Milwaukee Bucks,0.5625,0.3333333333333333
2006-2007,2006-12-02,Los Angeles Clippers,88,97,Los Angeles Lakers,0.5,0.6666666666666666
2006-2007,2006-12-03,Charlotte Hornets,97,89,Detroit Pistons,0.25,0.6875
2006-2007,2006-12-03,Philadelphia 76ers,84,95,Minnesota Timberwolves,0.3333333333333333,0.4
2006-2007,2006-12-03,Portland Trail Blazers,96,107,Atlanta Hawks,0.35294117647058826,0.42857142857142855
2006-2007,2006-12-03,Los Angeles Clippers,116,91,Orlando Magic,0.4666666666666667,0.7647058823529411
2006-2007,2006-12-04,Washington Wizards,106,97,Dallas Mavericks,0.375,0.75
2006-2007,2006-12-04,New York Knicks,98,90,Memphis Grizzlies,0.3157894736842105,0.25
2006-2007,2006-12-04,San Antonio Spurs,129,89,Golden State Warriors,0.7058823529411765,0.5294117647058824
2006-2007,2006-12-04,Chicago Bulls,100,82,Boston Celtics,0.4375,0.3333333333333333
2006-2007,2006-12-04,Utah Jazz,101,88,Milwaukee Bucks,0.7777777777777778,0.375
2006-2007,2006-12-04,Sacramento Kings,89,92,Orlando Magic,0.5333333333333333,0.7222222222222222
2006-2007,2006-12-04,Los Angeles Lakers,101,87,Indiana Pacers,0.6875,0.5
2006-2007,2006-12-05,Detroit Pistons,85,88,Portland Trail Blazers,0.6470588235294118,0.3333333333333333
2006-2007,2006-12-05,Brooklyn Nets,75,92,Dallas Mavericks,0.4375,0.7058823529411765
2006-2007,2006-12-05,Houston Rockets,118,90,Golden State Warriors,0.6875,0.5
2006-2007,2006-12-05,Phoenix Suns,127,102,Sacramento Kings,0.6,0.5
2006-2007,2006-12-05,Oklahoma City Thunder,102,87,Atlanta Hawks,0.3888888888888889,0.4666666666666667
2006-2007,2006-12-05,Los Angeles Clippers,101,97,Miami Heat,0.5,0.4375
2006-2007,2006-12-06,Charlotte Hornets,76,96,San Antonio Spurs,0.29411764705882354,0.7222222222222222
2006-2007,2006-12-06,Cleveland Cavaliers,95,91,Toronto Raptors,0.5882352941176471,0.4117647058823529
2006-2007,2006-12-06,Indiana Pacers,94,80,Orlando Magic,0.47368421052631576,0.7368421052631579
2006-2007,2006-12-06,Boston Celtics,96,98,Memphis Grizzlies,0.3125,0.23529411764705882
2006-2007,2006-12-06,New York Knicks,102,113,Washington Wizards,0.35,0.4117647058823529
2006-2007,2006-12-06,Milwaukee Bucks,102,94,Portland Trail Blazers,0.35294117647058826,0.3684210526315789
2006-2007,2006-12-06,Minnesota Timberwolves,90,84,Houston Rockets,0.4375,0.7058823529411765
2006-2007,2006-12-06,Chicago Bulls,121,94,Philadelphia 76ers,0.47058823529411764,0.3125
2006-2007,2006-12-06,Denver Nuggets,96,98,Atlanta Hawks,0.6666666666666666,0.4375
2006-2007,2006-12-06,Los Angeles Lakers,89,105,New Orleans Pelicans,0.7058823529411765,0.5
2006-2007,2006-12-07,Brooklyn Nets,157,161,Phoenix Suns,0.4117647058823529,0.625
2006-2007,2006-12-07,Dallas Mavericks,82,92,Detroit Pistons,0.7222222222222222,0.6111111111111112
2006-2007,2006-12-07,Sacramento Kings,91,93,Miami Heat,0.47058823529411764,0.4117647058823529
2006-2007,2006-12-08,Charlotte Hornets,62,92,Houston Rockets,0.2777777777777778,0.6666666666666666
2006-2007,2006-12-08,Indiana Pacers,108,95,Portland Trail Blazers,0.5,0.35
2006-2007,2006-12-08,Orlando Magic,83,87,Detroit Pistons,0.7,0.631578947368421
2006-2007,2006-12-08,Boston Celtics,111,116,Phoenix Suns,0.29411764705882354,0.6470588235294118
2006-2007,2006-12-08,Minnesota Timberwolves,110,103,Utah Jazz,0.47058823529411764,0.7894736842105263
2006-2007,2006-12-08,Philadelphia 76ers,98,113,Washington Wizards,0.29411764705882354,0.4444444444444444
2006-2007,2006-12-08,San Antonio Spurs,111,82,Los Angeles Clippers,0.7368421052631579,0.5294117647058824
2006-2007,2006-12-08,Chicago Bulls,93,90,Toronto Raptors,0.5,0.3888888888888889
2006-2007,2006-12-08,Milwaukee Bucks,100,94,Memphis Grizzlies,0.3888888888888889,0.2777777777777778
2006-2007,2006-12-08,Denver Nuggets,123,107,Miami Heat,0.625,0.4444444444444444
2006-2007,2006-12-08,Los Angeles Lakers,106,95,Atlanta Hawks,0.6666666666666666,0.47058823529411764
2006-2007,2006-12-08,Oklahoma City Thunder,94,74,New Orleans Pelicans,0.42105263157894735,0.5294117647058824
2006-2007,2006-12-09,Orlando Magic,86,84,Philadelphia 76ers,0.6666666666666666,0.2777777777777778
2006-2007,2006-12-09,Washington Wizards,109,114,Houston Rockets,0.47368421052631576,0.6842105263157895
2006-2007,2006-12-09,Cleveland Cavaliers,107,75,Indiana Pacers,0.6111111111111112,0.5238095238095238
2006-2007,2006-12-09,Brooklyn Nets,90,92,Boston Celtics,0.3888888888888889,0.2777777777777778
2006-2007,2006-12-09,New York Knicks,115,107,Milwaukee Bucks,0.3333333333333333,0.42105263157894735
2006-2007,2006-12-09,Memphis Grizzlies,82,89,Los Angeles Clippers,0.2631578947368421,0.5
2006-2007,2006-12-09,Chicago Bulls,81,91,Minnesota Timberwolves,0.5263157894736842,0.5
2006-2007,2006-12-09,Dallas Mavericks,105,90,Denver Nuggets,0.6842105263157895,0.6470588235294118
2006-2007,2006-12-09,Golden State Warriors,101,80,New Orleans Pelicans,0.47368421052631576,0.5
2006-2007,2006-12-10,Toronto Raptors,83,93,Portland Trail Blazers,0.3684210526315789,0.3333333333333333
2006-2007,2006-12-10,Charlotte Hornets,84,114,Phoenix Suns,0.2631578947368421,0.6666666666666666
2006-2007,2006-12-10,Sacramento Kings,117,92,Atlanta Hawks,0.4444444444444444,0.4444444444444444
2006-2007,2006-12-10,Oklahoma City Thunder,117,115,Golden State Warriors,0.45,0.5
2006-2007,2006-12-10,Los Angeles Lakers,106,99,San Antonio Spurs,0.6842105263157895,0.75
2006-2007,2006-12-11,Orlando Magic,89,103,Phoenix Suns,0.6818181818181818,0.6842105263157895
2006-2007,2006-12-11,Philadelphia 76ers,79,81,Portland Trail Blazers,0.2631578947368421,0.36363636363636365
2006-2007,2006-12-11,Miami Heat,99,77,Toronto Raptors,0.42105263157894735,0.35
2006-2007,2006-12-11,Brooklyn Nets,105,92,Memphis Grizzlies,0.3684210526315789,0.25
2006-2007,2006-12-11,New York Knicks,90,97,Boston Celtics,0.36363636363636365,0.3157894736842105
2006-2007,2006-12-11,New Orleans Pelicans,95,89,Cleveland Cavaliers,0.47368421052631576,0.631578947368421
2006-2007,2006-12-11,Chicago Bulls,106,91,Indiana Pacers,0.5,0.5
2006-2007,2006-12-11,Utah Jazz,101,79,Dallas Mavericks,0.75,0.7
